id,hasEnsData,name,type,length
ENSRNOG00000000513,True,Mapk14,protein_coding,60919
ENSRNOG00000000517,True,Kctd20,protein_coding,16928
ENSRNOG00000000519,True,Stk38,protein_coding,33956
ENSRNOG00000000520,True,Srsf3,protein_coding,9168
ENSRNOG00000000521,True,Cdkn1a,protein_coding,10368
ENSRNOG00000000522,True,Cpne5,protein_coding,82141
ENSRNOG00000000523,True,Ppil1,protein_coding,19733
ENSRNOG00000000524,True,C20h6orf89,protein_coding,35170
ENSRNOG00000000525,True,Pi16,protein_coding,9257
ENSRNOG00000000527,True,Mtch1,protein_coding,23477
ENSRNOG00000000528,True,Fgd2,protein_coding,16813
ENSRNOG00000000529,True,Pim1,protein_coding,4253
ENSRNOG00000000531,False,,,
ENSRNOG00000000532,True,Cmtr1,protein_coding,56589
ENSRNOG00000000536,True,Mdga1,protein_coding,59113
ENSRNOG00000000540,True,Btbd9,protein_coding,355249
ENSRNOG00000000541,True,Glo1,protein_coding,18848
ENSRNOG00000000542,True,Dnah8,protein_coding,253809
ENSRNOG00000000543,True,Frk,protein_coding,105834
ENSRNOG00000000546,True,Nt5dc1,protein_coding,102913
ENSRNOG00000000547,True,Tspyl4,protein_coding,4376
ENSRNOG00000000549,True,Tspyl1,lncRNA,2603
ENSRNOG00000000551,True,Fam241b,protein_coding,2760
ENSRNOG00000000552,True,Col13a1,protein_coding,140067
ENSRNOG00000000557,True,Ppa1,protein_coding,12382
ENSRNOG00000000560,True,Lrrc20,protein_coding,105444
ENSRNOG00000000561,True,Pald1,protein_coding,64665
ENSRNOG00000000563,True,Adamts14,protein_coding,75512
ENSRNOG00000000565,True,Sgpl1,protein_coding,46288
ENSRNOG00000000566,True,Pcbd1,protein_coding,90457
ENSRNOG00000000567,True,Unc5b,protein_coding,66811
ENSRNOG00000000568,True,Slc29a3,protein_coding,37997
ENSRNOG00000000569,True,Vsir,protein_coding,22282
ENSRNOG00000000571,True,Psap,protein_coding,26227
ENSRNOG00000000572,True,Chst3,protein_coding,7403
ENSRNOG00000000576,True,Anapc16,protein_coding,14650
ENSRNOG00000000579,True,Marcks,protein_coding,5697
ENSRNOG00000000580,True,Calhm4,protein_coding,2711
ENSRNOG00000000581,True,Cdc40,protein_coding,52269
ENSRNOG00000000582,True,Ddo,protein_coding,42181
ENSRNOG00000000583,True,Cdk19,protein_coding,140219
ENSRNOG00000000585,True,Amd1,protein_coding,14239
ENSRNOG00000000586,True,Gtf3c6,protein_coding,11998
ENSRNOG00000000587,True,Rpf2,protein_coding,21558
ENSRNOG00000000589,True,Mfsd4b2l1,protein_coding,13207
ENSRNOG00000000593,True,Rev3l,protein_coding,157736
ENSRNOG00000000595,True,Traf3ip2,protein_coding,43217
ENSRNOG00000000596,True,Fyn,protein_coding,193542
ENSRNOG00000000597,True,Ccn6,protein_coding,15817
ENSRNOG00000000598,True,Tube1,protein_coding,17877
ENSRNOG00000000599,True,Lama4,protein_coding,141079
ENSRNOG00000000604,True,Hdac2,protein_coding,23359
ENSRNOG00000000605,True,Hs3st5,protein_coding,310777
ENSRNOG00000000606,True,Pcdh15,protein_coding,1531154
ENSRNOG00000000609,True,Ipmk,protein_coding,33668
ENSRNOG00000000610,True,Cisd1,protein_coding,29773
ENSRNOG00000000611,True,Ube2d1,protein_coding,32980
ENSRNOG00000000613,True,Tfam,protein_coding,12095
ENSRNOG00000000614,True,Bicc1,protein_coding,237216
ENSRNOG00000000618,True,Mdga2,protein_coding,846185
ENSRNOG00000000622,False,,,
ENSRNOG00000000632,True,Cdk1,protein_coding,15160
ENSRNOG00000000633,True,Rhobtb1,protein_coding,75857
ENSRNOG00000000634,True,Cabcoco1,protein_coding,109271
ENSRNOG00000000635,True,Arid5b,protein_coding,179702
ENSRNOG00000000636,True,Rtkn2,protein_coding,84695
ENSRNOG00000000638,True,Zfp365,protein_coding,24998
ENSRNOG00000000639,False,,,
ENSRNOG00000000640,True,Egr2,protein_coding,4285
ENSRNOG00000000641,True,Nrbf2,protein_coding,18242
ENSRNOG00000000645,True,Reep3,protein_coding,84743
ENSRNOG00000000648,True,Jmjd1c,protein_coding,130975
ENSRNOG00000000653,True,Nr5a2,protein_coding,117025
ENSRNOG00000000655,True,Ptprc,protein_coding,112499
ENSRNOG00000000657,True,Nek7,protein_coding,127078
ENSRNOG00000000658,True,Acacb,protein_coding,91107
ENSRNOG00000000661,True,Hps4,protein_coding,30595
ENSRNOG00000000662,True,Srrd,protein_coding,6016
ENSRNOG00000000663,True,Tfip11,protein_coding,12233
ENSRNOG00000000664,True,Tpst2,protein_coding,40454
ENSRNOG00000000665,True,Pitpnb,protein_coding,48981
ENSRNOG00000000692,True,Ung,protein_coding,8930
ENSRNOG00000000693,True,Svop,protein_coding,59540
ENSRNOG00000000695,True,Ssh1,protein_coding,62139
ENSRNOG00000000697,True,Coro1c,protein_coding,72188
ENSRNOG00000000699,True,Selplg,protein_coding,16005
ENSRNOG00000000700,True,Tmem119,protein_coding,7271
ENSRNOG00000000701,True,Iscu,protein_coding,5845
ENSRNOG00000000702,True,Sart3,protein_coding,27733
ENSRNOG00000000704,True,Cmklr1,protein_coding,53719
ENSRNOG00000000708,True,Sgsm1,protein_coding,65201
ENSRNOG00000000715,True,Pou1f1,protein_coding,17743
ENSRNOG00000000716,True,Htr1f,protein_coding,1399
ENSRNOG00000000718,True,Cggbp1,protein_coding,7547
ENSRNOG00000000720,True,C11h3orf38,protein_coding,7471
ENSRNOG00000000723,False,,,
ENSRNOG00000000728,True,Clic2,protein_coding,15448
ENSRNOG00000000729,True,Tmlhe,protein_coding,49114
ENSRNOG00000000746,True,Or2g1,protein_coding,3878
ENSRNOG00000000747,False,,,
ENSRNOG00000000748,False,,,
ENSRNOG00000000763,True,RT1-M3-1,protein_coding,40596
ENSRNOG00000000774,True,Gabbr1,protein_coding,29460
ENSRNOG00000000775,True,Mog,protein_coding,10235
ENSRNOG00000000777,True,RT1-S3,protein_coding,4702
ENSRNOG00000000778,True,Znrd1as1,protein_coding,13153
ENSRNOG00000000779,True,Polr1h,protein_coding,3918
ENSRNOG00000000780,True,Ppp1r11,protein_coding,3500
ENSRNOG00000000781,True,Rnf39,protein_coding,5489
ENSRNOG00000000782,True,Trim10,protein_coding,8690
ENSRNOG00000000785,True,Trim39,protein_coding,36584
ENSRNOG00000000786,True,Rpp21,protein_coding,1959
ENSRNOG00000000787,False,,,
ENSRNOG00000000795,True,RT1-N3,protein_coding,3946
ENSRNOG00000000796,True,Ranbp2,protein_coding,51264
ENSRNOG00000000798,True,Gnl1,protein_coding,13130
ENSRNOG00000000799,True,Abcf1,protein_coding,12945
ENSRNOG00000000800,True,Man1a1,protein_coding,183307
ENSRNOG00000000801,True,Msl3l2,protein_coding,8869
ENSRNOG00000000802,True,Tbc1d32,protein_coding,230552
ENSRNOG00000000804,True,Mrps18b,protein_coding,6230
ENSRNOG00000000805,True,Gja1,protein_coding,12591
ENSRNOG00000000808,True,Hsf2,protein_coding,30310
ENSRNOG00000000809,True,Atat1,protein_coding,17348
ENSRNOG00000000811,True,Pkib,protein_coding,156847
ENSRNOG00000000812,False,,,
ENSRNOG00000000814,True,Fabp7,protein_coding,3687
ENSRNOG00000000815,True,Smpdl3a,protein_coding,22975
ENSRNOG00000000816,False,,,
ENSRNOG00000000818,True,Ppp1r18,protein_coding,14235
ENSRNOG00000000823,True,Gcc2,protein_coding,46209
ENSRNOG00000000824,True,Dse,protein_coding,78796
ENSRNOG00000000825,True,Calhm5,protein_coding,6030
ENSRNOG00000000826,True,Flot1,protein_coding,10841
ENSRNOG00000000827,True,Ier3,protein_coding,1205
ENSRNOG00000000831,True,Gtf2h4,pseudogene,5656
ENSRNOG00000000833,True,Vars2,pseudogene,10862
ENSRNOG00000000836,False,,,
ENSRNOG00000000837,False,,,
ENSRNOG00000000839,True,Nfkbil1,protein_coding,14974
ENSRNOG00000000840,True,Atp6v1g2,protein_coding,2795
ENSRNOG00000000841,True,Ddx39b,protein_coding,12940
ENSRNOG00000000842,True,Ddah2,protein_coding,3046
ENSRNOG00000000847,True,Csnk2b,protein_coding,8400
ENSRNOG00000000848,True,Gpank1,protein_coding,3217
ENSRNOG00000000851,True,Bag6,protein_coding,12719
ENSRNOG00000000852,True,Prrc2a,protein_coding,15435
ENSRNOG00000000853,True,Aif1,protein_coding,5891
ENSRNOG00000000855,True,Lst1,protein_coding,3248
ENSRNOG00000000858,True,Sapcd1,protein_coding,1823
ENSRNOG00000000860,True,Vwa7,protein_coding,10534
ENSRNOG00000000861,True,Zic3,protein_coding,10720
ENSRNOG00000000866,True,Rbmx,protein_coding,9418
ENSRNOG00000000867,True,Vars1,protein_coding,14522
ENSRNOG00000000869,True,Arhgef6,protein_coding,128518
ENSRNOG00000000873,True,Brs3,protein_coding,24199
ENSRNOG00000000875,True,Fhl1,protein_coding,59449
ENSRNOG00000000879,True,Slc9a6,protein_coding,64619
ENSRNOG00000000881,False,,,
ENSRNOG00000000885,True,Auts2,protein_coding,1090224
ENSRNOG00000000886,True,Caln1,protein_coding,483716
ENSRNOG00000000888,True,Sbds,protein_coding,9235
ENSRNOG00000000889,True,Ralbp1l1,protein_coding,37363
ENSRNOG00000000891,True,Zfp958l1,protein_coding,22932
ENSRNOG00000000893,True,Tmem248,protein_coding,24152
ENSRNOG00000000894,True,Fry,protein_coding,305225
ENSRNOG00000000895,True,Rabgef1,protein_coding,43569
ENSRNOG00000000896,True,AABR07070892.1,processed_pseudogene,305
ENSRNOG00000000897,True,Rxfp2,protein_coding,60874
ENSRNOG00000000900,True,Tpst1,protein_coding,61168
ENSRNOG00000000901,True,Crcp,protein_coding,144249
ENSRNOG00000000902,True,Hsph1,protein_coding,19302
ENSRNOG00000000903,True,Asl,protein_coding,20097
ENSRNOG00000000904,True,Wdr95,protein_coding,141242
ENSRNOG00000000905,True,Tex26,protein_coding,36807
ENSRNOG00000000906,True,Medag,protein_coding,21559
ENSRNOG00000000907,True,Alox5ap,protein_coding,24042
ENSRNOG00000000909,True,Uspl1,protein_coding,27007
ENSRNOG00000000913,True,Gusb,protein_coding,28954
ENSRNOG00000000916,False,,,
ENSRNOG00000000917,True,Nupr2,protein_coding,3504
ENSRNOG00000000918,True,Zbed5,protein_coding,6064
ENSRNOG00000000920,True,Phkg1,protein_coding,13882
ENSRNOG00000000921,True,Ubl3,lncRNA,45402
ENSRNOG00000000922,True,Sumf2,protein_coding,18616
ENSRNOG00000000923,True,Cct6a,protein_coding,10763
ENSRNOG00000000924,True,Slc7a1,protein_coding,75842
ENSRNOG00000000925,True,Psph,protein_coding,21941
ENSRNOG00000000926,True,Mrps17,protein_coding,3007
ENSRNOG00000000931,True,Sfswap,protein_coding,70273
ENSRNOG00000000936,True,Stx2,protein_coding,24932
ENSRNOG00000000937,True,Slc46a3,protein_coding,16424
ENSRNOG00000000938,True,Ran,protein_coding,4226
ENSRNOG00000000940,True,Flt1,protein_coding,171334
ENSRNOG00000000942,True,Pan3,protein_coding,122507
ENSRNOG00000000952,True,Gsx1,protein_coding,1293
ENSRNOG00000000954,True,Polr1d,protein_coding,35029
ENSRNOG00000000955,True,Lnx2,protein_coding,65267
ENSRNOG00000000956,True,Rasl11a,protein_coding,4417
ENSRNOG00000000957,True,Rpl21,protein_coding,5085
ENSRNOG00000000958,True,AABR07055943.1,pseudogene,1114
ENSRNOG00000000961,True,Glt1d1,protein_coding,73707
ENSRNOG00000000962,True,Slc15a4,protein_coding,19465
ENSRNOG00000000963,True,Tmem132c,protein_coding,321403
ENSRNOG00000000964,True,Frg1l1,protein_coding,776
ENSRNOG00000000967,True,Aacs,protein_coding,47856
ENSRNOG00000000968,True,Rnf6,protein_coding,10014
ENSRNOG00000000974,True,Zfp358,protein_coding,4094
ENSRNOG00000000975,True,Mcoln1,protein_coding,13893
ENSRNOG00000000977,True,Pnpla6,protein_coding,43371
ENSRNOG00000000979,False,,,
ENSRNOG00000000981,True,Scarb1,protein_coding,66491
ENSRNOG00000000983,True,Zfp394,protein_coding,8168
ENSRNOG00000000985,True,Cpsf4l2,protein_coding,16063
ENSRNOG00000000986,True,Camsap3,protein_coding,23434
ENSRNOG00000000987,True,Ptcd1,protein_coding,17794
ENSRNOG00000000988,True,Xab2,protein_coding,12020
ENSRNOG00000000989,True,Bud31,protein_coding,8068
ENSRNOG00000000990,True,Pdap1,protein_coding,64800
ENSRNOG00000000991,True,Arpc1b,protein_coding,14916
ENSRNOG00000000994,True,Stxbp2,protein_coding,11048
ENSRNOG00000000996,True,Arpc1a,protein_coding,22829
ENSRNOG00000000999,True,Smurf1,protein_coding,91494
ENSRNOG00000001003,True,Trappc5,protein_coding,5010
ENSRNOG00000001004,True,Ncor2,protein_coding,161907
ENSRNOG00000001005,True,Fcer2,protein_coding,11661
ENSRNOG00000001006,True,Nptx2,protein_coding,10910
ENSRNOG00000001007,True,Baiap2l1,protein_coding,89455
ENSRNOG00000001009,True,Bri3,protein_coding,23724
ENSRNOG00000001010,True,Tecpr1,protein_coding,27915
ENSRNOG00000001011,False,,,
ENSRNOG00000001030,True,Tsc22d1,protein_coding,101448
ENSRNOG00000001031,True,Ocm,protein_coding,9810
ENSRNOG00000001032,True,Ccz1,protein_coding,23552
ENSRNOG00000001033,True,Nufip1,protein_coding,30761
ENSRNOG00000001034,True,Evi5l,protein_coding,40279
ENSRNOG00000001035,True,Gtf2h3,protein_coding,16483
ENSRNOG00000001036,True,Rsph10b,protein_coding,47732
ENSRNOG00000001037,True,Gpalpp1,protein_coding,18236
ENSRNOG00000001039,True,Eif2b1,protein_coding,21044
ENSRNOG00000001040,True,Pms2,protein_coding,24302
ENSRNOG00000001043,True,Ddx55,protein_coding,15757
ENSRNOG00000001044,True,Aimp2,protein_coding,9575
ENSRNOG00000001047,True,Map2k7,protein_coding,13003
ENSRNOG00000001048,True,Ankrd61,protein_coding,4357
ENSRNOG00000001049,True,Tpt1,protein_coding,13471
ENSRNOG00000001050,True,Eif2ak1,protein_coding,38699
ENSRNOG00000001052,True,Slc25a30,protein_coding,22611
ENSRNOG00000001053,True,Tmed2,protein_coding,19360
ENSRNOG00000001055,True,Rilpl1,protein_coding,38245
ENSRNOG00000001056,True,Snapc2,protein_coding,3189
ENSRNOG00000001057,False,,,
ENSRNOG00000001058,True,Timm44,protein_coding,16770
ENSRNOG00000001059,True,Usp42,protein_coding,38204
ENSRNOG00000001060,True,Snrnp35,protein_coding,11667
ENSRNOG00000001061,True,Rilpl2,protein_coding,11532
ENSRNOG00000001062,False,,,
ENSRNOG00000001064,True,Sbno1,protein_coding,44673
ENSRNOG00000001065,True,Cyth3,protein_coding,93655
ENSRNOG00000001068,True,Rac1,protein_coding,20553
ENSRNOG00000001069,True,Elavl1,protein_coding,39723
ENSRNOG00000001070,True,Cdk2ap1,protein_coding,8732
ENSRNOG00000001071,True,AABR07035091.1,protein_coding,320
ENSRNOG00000001072,True,Cers4,protein_coding,35044
ENSRNOG00000001073,True,Mtrfr,protein_coding,16823
ENSRNOG00000001074,True,Mphosph9,protein_coding,66834
ENSRNOG00000001079,True,Daglb,protein_coding,42422
ENSRNOG00000001080,True,Arl6ip4,protein_coding,2174
ENSRNOG00000001081,True,Ogfod2,pseudogene,3296
ENSRNOG00000001082,True,Abcb9,protein_coding,32706
ENSRNOG00000001083,True,Kdelr2,protein_coding,18333
ENSRNOG00000001086,True,Vps37b,protein_coding,28967
ENSRNOG00000001088,True,Rfc3,protein_coding,10784
ENSRNOG00000001090,True,Stard13,protein_coding,393111
ENSRNOG00000001091,True,Hip1r,protein_coding,28569
ENSRNOG00000001094,True,Zfp316,protein_coding,18197
ENSRNOG00000001098,True,Pds5b,protein_coding,90283
ENSRNOG00000001099,True,Rbak,protein_coding,13616
ENSRNOG00000001101,True,Rnf216,protein_coding,121507
ENSRNOG00000001103,True,Sdk1,protein_coding,983452
ENSRNOG00000001104,True,Foxk1,protein_coding,59139
ENSRNOG00000001106,True,Denr,protein_coding,21327
ENSRNOG00000001107,False,,,
ENSRNOG00000001108,True,N4bp2l2,protein_coding,94194
ENSRNOG00000001111,True,Brca2,protein_coding,40748
ENSRNOG00000001113,True,Mmd2,protein_coding,47016
ENSRNOG00000001114,True,Wipi2,protein_coding,28457
ENSRNOG00000001115,True,Slc29a4,protein_coding,21294
ENSRNOG00000001117,True,Fbxl18l1,protein_coding,23066
ENSRNOG00000001120,True,Med13l,protein_coding,196188
ENSRNOG00000001123,True,Spring1,protein_coding,31301
ENSRNOG00000001124,True,Rnft2,protein_coding,58021
ENSRNOG00000001126,True,Fbxw8,protein_coding,89980
ENSRNOG00000001128,True,Tesc,protein_coding,33963
